x    z    U_mean
4.0 0.01 0.0
4.0 0.2 0.0
4.0 0.4 0.0
4.0 0.6 0.0
4.0 0.8 0.0
4.0 1.0 0.0
4.0 1.2 0.0
4.0 1.4 0.0
4.0 1.6 0.0
4.0 1.8 0.0
4.0 2.0 0.0
4.0 2.2 0.0
4.0 2.4 0.0
4.0 2.6 0.0
4.0 2.8 0.0
4.0 3.0 0.0
6.0 0.01 0.0
6.0 0.2 0.0
6.0 0.4 0.0
6.0 0.6 0.0
6.0 0.8 0.0
6.0 1.0 0.0
6.0 1.2 0.0
6.0 1.4 0.0
6.0 1.6 0.0
6.0 1.8 0.0
6.0 2.0 0.0
6.0 2.2 0.0
6.0 2.4 0.0
6.0 2.6 0.0
6.0 2.8 0.0
6.0 3.0 0.0
10.0 0.01 0.0
10.0 0.2 0.0
10.0 0.4 0.0
10.0 0.6 0.0
10.0 0.8 0.0
10.0 1.0 0.0
10.0 1.2 0.0
10.0 1.4 0.0
10.0 1.6 0.0
10.0 1.8 0.0
10.0 2.0 0.0
10.0 2.2 0.0
10.0 2.4 0.0
10.0 2.6 0.0
10.0 2.8 0.0
10.0 3.0 0.0
19.0 0.01 0.0
19.0 0.2 0.0
19.0 0.4 0.0
19.0 0.6 0.0
19.0 0.8 0.0
19.0 1.0 0.0
19.0 1.2 0.0
19.0 1.4 0.0
19.0 1.6 0.0
19.0 1.8 0.0
19.0 2.0 0.0
19.0 2.2 0.0
19.0 2.4 0.0
19.0 2.6 0.0
19.0 2.8 0.0
19.0 3.0 0.0
